,Department,Direction,Date,Network
15,Administration,source,2014-01-07 08:00:00,"[['Mat Bramar', 'Felix Balas', 1], ['Mat Bramar', 'Lidelse Dedos', 1], ['Mat Bramar', 'Adra Nubarron', 1], ['Mat Bramar', 'Marin Onda', 1], ['Mat Bramar', 'Kanon Herrero', 1], ['Mat Bramar', 'Cecilia Morluniau', 1], ['Mat Bramar', 'Gustav Cazar', 1], ['Mat Bramar', 'Felix Resumir', 1], ['Mat Bramar', 'Lucas Alcazar', 1], ['Mat Bramar', 'Willem Vasco-Pais', 1], ['Mat Bramar', 'Valeria Morlun', 1], ['Mat Bramar', 'Nils Calixto', 1], ['Mat Bramar', 'Varro Awelon', 1], ['Mat Bramar', 'Dante Coginian', 1], ['Mat Bramar', 'Bertrand Ovan', 1], ['Mat Bramar', 'Ingrid Barranco', 1], ['Mat Bramar', 'Hideki Cocinaro', 1], ['Mat Bramar', 'Linnea Bergen', 1], ['Mat Bramar', 'Dylan Scozzese', 1], ['Mat Bramar', 'Sten Sanjorge Jr', 1], ['Mat Bramar', 'Anda Ribera', 1], ['Mat Bramar', 'Varja Lagos', 1], ['Mat Bramar', 'Isia Vann', 1], ['Mat Bramar', 'Claudio Hawelon', 1], ['Mat Bramar', 'Orhan Strum', 1], ['Mat Bramar', 'Cornelia Lais', 1], ['Mat Bramar', 'Irene Nant', 1], ['Mat Bramar', 'Henk Mies', 1], ['Mat Bramar', 'Adan Morlun', 1], ['Mat Bramar', 'Rachel Pantanal', 1], ['Mat Bramar', 'Edvard Vann', 1], ['Mat Bramar', 'Emile Arpa', 1], ['Mat Bramar', 'Birgitta Frente', 1], ['Mat Bramar', 'Hennie Osvaldo', 1], ['Mat Bramar', 'Minke Mies', 1], ['Mat Bramar', 'Benito Hawelon', 1], ['Mat Bramar', 'Inga Ferro', 1], ['Mat Bramar', 'Linda Lagos', 1], ['Mat Bramar', 'Stenig Fusil', 1], ['Mat Bramar', 'Isak Baza', 1], ['Mat Bramar', 'Ruscella Mies', 1], ['Mat Bramar', 'Brand Tempestad', 1], ['Mat Bramar', 'Isande Borrasca', 1], ['Mat Bramar', 'Loreto Bodrogi', 1], ['Mat Bramar', 'Lars Azada', 1], ['Mat Bramar', 'Carla Forluniau', 1], ['Mat Bramar', 'Ada Campo-Corrente', 1], ['Mat Bramar', 'Albina Hafon', 1], ['Mat Bramar', 'Elsa Orilla', 1], ['Mat Bramar', 'Kare Orilla', 1], ['Mat Bramar', 'Axel Calzas', 1], ['Mat Bramar', 'Sven Flecha', 1], ['Mat Bramar', 'Vira Frente', 1]]"
16,Administration,source,2014-01-07 09:00:00,[]
17,Administration,source,2014-01-07 10:00:00,"[['Carla Forluniau', 'Irene Nant', 1], ['Mat Bramar', 'Ruscella Mies', 1], ['Mat Bramar', 'Cornelia Lais', 1], ['Mat Bramar', 'Carla Forluniau', 1], ['Mat Bramar', 'Rachel Pantanal', 1], ['Mat Bramar', 'Linda Lagos', 1], ['Mat Bramar', 'Anda Ribera', 1]]"
18,Administration,source,2014-01-07 11:00:00,"[['Mat Bramar', 'Dante Coginian', 1]]"
19,Administration,source,2014-01-07 12:00:00,"[['Cornelia Lais', 'Ruscella Mies', 1], ['Cornelia Lais', 'Carla Forluniau', 1], ['Cornelia Lais', 'Rachel Pantanal', 1], ['Cornelia Lais', 'Mat Bramar', 1], ['Cornelia Lais', 'Linda Lagos', 1], ['Cornelia Lais', 'Anda Ribera', 1], ['Carla Forluniau', 'Felix Balas', 1]]"
20,Administration,source,2014-01-07 13:00:00,"[['Cornelia Lais', 'Ruscella Mies', 1], ['Cornelia Lais', 'Carla Forluniau', 1], ['Cornelia Lais', 'Rachel Pantanal', 1], ['Cornelia Lais', 'Mat Bramar', 1], ['Cornelia Lais', 'Linda Lagos', 1], ['Cornelia Lais', 'Anda Ribera', 1], ['Carla Forluniau', 'Felix Balas', 1], ['Mat Bramar', 'Ruscella Mies', 1], ['Mat Bramar', 'Cornelia Lais', 1], ['Mat Bramar', 'Carla Forluniau', 1], ['Mat Bramar', 'Rachel Pantanal', 1], ['Mat Bramar', 'Linda Lagos', 1], ['Mat Bramar', 'Anda Ribera', 1], ['Linda Lagos', 'Ruscella Mies', 1], ['Linda Lagos', 'Cornelia Lais', 1], ['Linda Lagos', 'Carla Forluniau', 1], ['Linda Lagos', 'Rachel Pantanal', 1], ['Linda Lagos', 'Mat Bramar', 1], ['Linda Lagos', 'Anda Ribera', 1], ['Anda Ribera', 'Ruscella Mies', 1], ['Anda Ribera', 'Cornelia Lais', 1], ['Anda Ribera', 'Carla Forluniau', 1], ['Anda Ribera', 'Rachel Pantanal', 1], ['Anda Ribera', 'Mat Bramar', 1], ['Anda Ribera', 'Linda Lagos', 1]]"
21,Administration,source,2014-01-07 14:00:00,"[['Cornelia Lais', 'Ruscella Mies', 1], ['Cornelia Lais', 'Hideki Cocinaro', 20], ['Cornelia Lais', 'Carla Forluniau', 1], ['Cornelia Lais', 'Rachel Pantanal', 1], ['Cornelia Lais', 'Mat Bramar', 1], ['Cornelia Lais', 'Linda Lagos', 1], ['Cornelia Lais', 'Anda Ribera', 1], ['Rachel Pantanal', 'Ruscella Mies', 1], ['Rachel Pantanal', 'Cornelia Lais', 1], ['Rachel Pantanal', 'Carla Forluniau', 1], ['Rachel Pantanal', 'Mat Bramar', 1], ['Rachel Pantanal', 'Linda Lagos', 1], ['Rachel Pantanal', 'Anda Ribera', 1], ['Mat Bramar', 'Felix Balas', 1], ['Mat Bramar', 'Lidelse Dedos', 1], ['Mat Bramar', 'Adra Nubarron', 1], ['Mat Bramar', 'Marin Onda', 1], ['Mat Bramar', 'Kanon Herrero', 1], ['Mat Bramar', 'Cecilia Morluniau', 1], ['Mat Bramar', 'Gustav Cazar', 1], ['Mat Bramar', 'Felix Resumir', 1], ['Mat Bramar', 'Lucas Alcazar', 1], ['Mat Bramar', 'Willem Vasco-Pais', 1], ['Mat Bramar', 'Valeria Morlun', 1], ['Mat Bramar', 'Nils Calixto', 1], ['Mat Bramar', 'Varro Awelon', 1], ['Mat Bramar', 'Dante Coginian', 1], ['Mat Bramar', 'Bertrand Ovan', 1], ['Mat Bramar', 'Ingrid Barranco', 1], ['Mat Bramar', 'Hideki Cocinaro', 1], ['Mat Bramar', 'Linnea Bergen', 1], ['Mat Bramar', 'Dylan Scozzese', 1], ['Mat Bramar', 'Sten Sanjorge Jr', 1], ['Mat Bramar', 'Anda Ribera', 1], ['Mat Bramar', 'Varja Lagos', 1], ['Mat Bramar', 'Isia Vann', 1], ['Mat Bramar', 'Claudio Hawelon', 1], ['Mat Bramar', 'Orhan Strum', 1], ['Mat Bramar', 'Cornelia Lais', 1], ['Mat Bramar', 'Irene Nant', 1], ['Mat Bramar', 'Henk Mies', 1], ['Mat Bramar', 'Adan Morlun', 1], ['Mat Bramar', 'Rachel Pantanal', 1], ['Mat Bramar', 'Edvard Vann', 1], ['Mat Bramar', 'Emile Arpa', 1], ['Mat Bramar', 'Birgitta Frente', 1], ['Mat Bramar', 'Hennie Osvaldo', 1], ['Mat Bramar', 'Minke Mies', 1], ['Mat Bramar', 'Benito Hawelon', 1], ['Mat Bramar', 'Inga Ferro', 1], ['Mat Bramar', 'Linda Lagos', 1], ['Mat Bramar', 'Stenig Fusil', 1], ['Mat Bramar', 'Isak Baza', 1], ['Mat Bramar', 'Ruscella Mies', 1], ['Mat Bramar', 'Brand Tempestad', 1], ['Mat Bramar', 'Isande Borrasca', 1], ['Mat Bramar', 'Loreto Bodrogi', 1], ['Mat Bramar', 'Lars Azada', 1], ['Mat Bramar', 'Carla Forluniau', 1], ['Mat Bramar', 'Ada Campo-Corrente', 1], ['Mat Bramar', 'Albina Hafon', 1], ['Mat Bramar', 'Elsa Orilla', 1], ['Mat Bramar', 'Kare Orilla', 1], ['Mat Bramar', 'Axel Calzas', 1], ['Mat Bramar', 'Sven Flecha', 1], ['Mat Bramar', 'Vira Frente', 1], ['Anda Ribera', 'Gustav Cazar', 1]]"
22,Administration,source,2014-01-07 15:00:00,[]
23,Administration,source,2014-01-07 16:00:00,"[['Cornelia Lais', 'Ruscella Mies', 1], ['Cornelia Lais', 'Carla Forluniau', 1], ['Cornelia Lais', 'Rachel Pantanal', 1], ['Cornelia Lais', 'Mat Bramar', 1], ['Cornelia Lais', 'Linda Lagos', 1], ['Cornelia Lais', 'Anda Ribera', 1], ['Carla Forluniau', 'Ruscella Mies', 1], ['Carla Forluniau', 'Cornelia Lais', 1], ['Carla Forluniau', 'Rachel Pantanal', 1], ['Carla Forluniau', 'Mat Bramar', 1], ['Carla Forluniau', 'Linda Lagos', 1], ['Carla Forluniau', 'Anda Ribera', 1], ['Anda Ribera', 'Ruscella Mies', 1], ['Anda Ribera', 'Cornelia Lais', 1], ['Anda Ribera', 'Carla Forluniau', 1], ['Anda Ribera', 'Rachel Pantanal', 1], ['Anda Ribera', 'Gustav Cazar', 10], ['Anda Ribera', 'Mat Bramar', 1], ['Anda Ribera', 'Linda Lagos', 1]]"
24,Administration,source,2014-01-07 17:00:00,"[['Linda Lagos', 'Ruscella Mies', 1], ['Linda Lagos', 'Cornelia Lais', 1], ['Linda Lagos', 'Carla Forluniau', 1], ['Linda Lagos', 'Rachel Pantanal', 1], ['Linda Lagos', 'Mat Bramar', 1], ['Linda Lagos', 'Anda Ribera', 1]]"
25,Administration,source,2014-01-07 18:00:00,[]
26,Administration,source,2014-01-07 19:00:00,[]
27,Administration,source,2014-01-07 20:00:00,"[['Rachel Pantanal', 'Ruscella Mies', 1], ['Rachel Pantanal', 'Cornelia Lais', 1], ['Rachel Pantanal', 'Carla Forluniau', 1], ['Rachel Pantanal', 'Mat Bramar', 1], ['Rachel Pantanal', 'Linda Lagos', 1], ['Rachel Pantanal', 'Anda Ribera', 1]]"
28,Administration,source,2014-01-07 21:00:00,[]
29,Administration,source,2014-01-07 22:00:00,[]
30,Administration,source,2014-01-08 08:00:00,[]
31,Administration,source,2014-01-08 09:00:00,"[['Linda Lagos', 'Ruscella Mies', 1], ['Linda Lagos', 'Cornelia Lais', 1], ['Linda Lagos', 'Carla Forluniau', 1], ['Linda Lagos', 'Rachel Pantanal', 1], ['Linda Lagos', 'Mat Bramar', 1], ['Linda Lagos', 'Anda Ribera', 1]]"
32,Administration,source,2014-01-08 10:00:00,"[['Mat Bramar', 'Felix Balas', 1], ['Mat Bramar', 'Lidelse Dedos', 1], ['Mat Bramar', 'Adra Nubarron', 1], ['Mat Bramar', 'Marin Onda', 1], ['Mat Bramar', 'Kanon Herrero', 1], ['Mat Bramar', 'Cecilia Morluniau', 1], ['Mat Bramar', 'Gustav Cazar', 1], ['Mat Bramar', 'Felix Resumir', 1], ['Mat Bramar', 'Lucas Alcazar', 1], ['Mat Bramar', 'Willem Vasco-Pais', 1], ['Mat Bramar', 'Valeria Morlun', 1], ['Mat Bramar', 'Nils Calixto', 1], ['Mat Bramar', 'Varro Awelon', 1], ['Mat Bramar', 'Dante Coginian', 1], ['Mat Bramar', 'Bertrand Ovan', 1], ['Mat Bramar', 'Ingrid Barranco', 1], ['Mat Bramar', 'Hideki Cocinaro', 1], ['Mat Bramar', 'Linnea Bergen', 1], ['Mat Bramar', 'Dylan Scozzese', 1], ['Mat Bramar', 'Sten Sanjorge Jr', 1], ['Mat Bramar', 'Anda Ribera', 1], ['Mat Bramar', 'Varja Lagos', 1], ['Mat Bramar', 'Isia Vann', 1], ['Mat Bramar', 'Claudio Hawelon', 1], ['Mat Bramar', 'Orhan Strum', 1], ['Mat Bramar', 'Cornelia Lais', 1], ['Mat Bramar', 'Irene Nant', 1], ['Mat Bramar', 'Henk Mies', 1], ['Mat Bramar', 'Adan Morlun', 1], ['Mat Bramar', 'Rachel Pantanal', 1], ['Mat Bramar', 'Edvard Vann', 1], ['Mat Bramar', 'Emile Arpa', 1], ['Mat Bramar', 'Birgitta Frente', 1], ['Mat Bramar', 'Hennie Osvaldo', 1], ['Mat Bramar', 'Minke Mies', 1], ['Mat Bramar', 'Benito Hawelon', 1], ['Mat Bramar', 'Inga Ferro', 1], ['Mat Bramar', 'Linda Lagos', 1], ['Mat Bramar', 'Stenig Fusil', 1], ['Mat Bramar', 'Isak Baza', 1], ['Mat Bramar', 'Ruscella Mies', 1], ['Mat Bramar', 'Brand Tempestad', 1], ['Mat Bramar', 'Isande Borrasca', 1], ['Mat Bramar', 'Loreto Bodrogi', 1], ['Mat Bramar', 'Lars Azada', 1], ['Mat Bramar', 'Carla Forluniau', 1], ['Mat Bramar', 'Ada Campo-Corrente', 1], ['Mat Bramar', 'Albina Hafon', 1], ['Mat Bramar', 'Elsa Orilla', 1], ['Mat Bramar', 'Kare Orilla', 1], ['Mat Bramar', 'Axel Calzas', 1], ['Mat Bramar', 'Sven Flecha', 1], ['Mat Bramar', 'Vira Frente', 1]]"
33,Administration,source,2014-01-08 11:00:00,"[['Rachel Pantanal', 'Ruscella Mies', 1], ['Rachel Pantanal', 'Cornelia Lais', 1], ['Rachel Pantanal', 'Carla Forluniau', 1], ['Rachel Pantanal', 'Mat Bramar', 1], ['Rachel Pantanal', 'Linda Lagos', 1], ['Rachel Pantanal', 'Anda Ribera', 1]]"
34,Administration,source,2014-01-08 12:00:00,"[['Cornelia Lais', 'Ruscella Mies', 1], ['Cornelia Lais', 'Carla Forluniau', 1], ['Cornelia Lais', 'Rachel Pantanal', 1], ['Cornelia Lais', 'Mat Bramar', 1], ['Cornelia Lais', 'Linda Lagos', 1], ['Cornelia Lais', 'Anda Ribera', 1]]"
35,Administration,source,2014-01-08 13:00:00,"[['Cornelia Lais', 'Ruscella Mies', 1], ['Cornelia Lais', 'Carla Forluniau', 1], ['Cornelia Lais', 'Rachel Pantanal', 1], ['Cornelia Lais', 'Mat Bramar', 1], ['Cornelia Lais', 'Linda Lagos', 1], ['Cornelia Lais', 'Anda Ribera', 1], ['Mat Bramar', 'Felix Balas', 11], ['Mat Bramar', 'Lidelse Dedos', 11], ['Mat Bramar', 'Adra Nubarron', 11], ['Mat Bramar', 'Marin Onda', 11], ['Mat Bramar', 'Kanon Herrero', 11], ['Mat Bramar', 'Cecilia Morluniau', 11], ['Mat Bramar', 'Gustav Cazar', 11], ['Mat Bramar', 'Felix Resumir', 11], ['Mat Bramar', 'Lucas Alcazar', 11], ['Mat Bramar', 'Willem Vasco-Pais', 11], ['Mat Bramar', 'Valeria Morlun', 11], ['Mat Bramar', 'Nils Calixto', 11], ['Mat Bramar', 'Varro Awelon', 11], ['Mat Bramar', 'Dante Coginian', 11], ['Mat Bramar', 'Bertrand Ovan', 11], ['Mat Bramar', 'Ingrid Barranco', 11], ['Mat Bramar', 'Hideki Cocinaro', 11], ['Mat Bramar', 'Linnea Bergen', 11], ['Mat Bramar', 'Dylan Scozzese', 11], ['Mat Bramar', 'Sten Sanjorge Jr', 11], ['Mat Bramar', 'Anda Ribera', 11], ['Mat Bramar', 'Varja Lagos', 11], ['Mat Bramar', 'Isia Vann', 11], ['Mat Bramar', 'Claudio Hawelon', 11], ['Mat Bramar', 'Orhan Strum', 11], ['Mat Bramar', 'Cornelia Lais', 11], ['Mat Bramar', 'Irene Nant', 11], ['Mat Bramar', 'Henk Mies', 11], ['Mat Bramar', 'Adan Morlun', 11], ['Mat Bramar', 'Rachel Pantanal', 11], ['Mat Bramar', 'Edvard Vann', 11], ['Mat Bramar', 'Emile Arpa', 11], ['Mat Bramar', 'Birgitta Frente', 11], ['Mat Bramar', 'Hennie Osvaldo', 11], ['Mat Bramar', 'Minke Mies', 11], ['Mat Bramar', 'Benito Hawelon', 11], ['Mat Bramar', 'Inga Ferro', 11], ['Mat Bramar', 'Linda Lagos', 11], ['Mat Bramar', 'Stenig Fusil', 11], ['Mat Bramar', 'Isak Baza', 11], ['Mat Bramar', 'Ruscella Mies', 11], ['Mat Bramar', 'Brand Tempestad', 11], ['Mat Bramar', 'Isande Borrasca', 11], ['Mat Bramar', 'Loreto Bodrogi', 11], ['Mat Bramar', 'Lars Azada', 11], ['Mat Bramar', 'Carla Forluniau', 11], ['Mat Bramar', 'Ada Campo-Corrente', 11], ['Mat Bramar', 'Albina Hafon', 11], ['Mat Bramar', 'Elsa Orilla', 11], ['Mat Bramar', 'Kare Orilla', 11], ['Mat Bramar', 'Axel Calzas', 11], ['Mat Bramar', 'Sven Flecha', 11], ['Mat Bramar', 'Vira Frente', 11]]"
36,Administration,source,2014-01-08 14:00:00,"[['Anda Ribera', 'Ruscella Mies', 1], ['Anda Ribera', 'Cornelia Lais', 1], ['Anda Ribera', 'Carla Forluniau', 1], ['Anda Ribera', 'Rachel Pantanal', 1], ['Anda Ribera', 'Mat Bramar', 1], ['Anda Ribera', 'Linda Lagos', 1], ['Linda Lagos', 'Ruscella Mies', 1], ['Linda Lagos', 'Cornelia Lais', 1], ['Linda Lagos', 'Carla Forluniau', 1], ['Linda Lagos', 'Rachel Pantanal', 1], ['Linda Lagos', 'Mat Bramar', 1], ['Linda Lagos', 'Anda Ribera', 1]]"
37,Administration,source,2014-01-08 15:00:00,"[['Carla Forluniau', 'Ruscella Mies', 1], ['Carla Forluniau', 'Cornelia Lais', 1], ['Carla Forluniau', 'Rachel Pantanal', 1], ['Carla Forluniau', 'Mat Bramar', 1], ['Carla Forluniau', 'Linda Lagos', 1], ['Carla Forluniau', 'Anda Ribera', 1], ['Rachel Pantanal', 'Ruscella Mies', 1], ['Rachel Pantanal', 'Cornelia Lais', 1], ['Rachel Pantanal', 'Carla Forluniau', 1], ['Rachel Pantanal', 'Mat Bramar', 1], ['Rachel Pantanal', 'Linda Lagos', 1], ['Rachel Pantanal', 'Anda Ribera', 1]]"
38,Administration,source,2014-01-08 16:00:00,[]
39,Administration,source,2014-01-08 17:00:00,"[['Carla Forluniau', 'Ruscella Mies', 1], ['Carla Forluniau', 'Cornelia Lais', 1], ['Carla Forluniau', 'Rachel Pantanal', 1], ['Carla Forluniau', 'Mat Bramar', 1], ['Carla Forluniau', 'Linda Lagos', 1], ['Carla Forluniau', 'Anda Ribera', 1]]"
40,Administration,source,2014-01-08 18:00:00,"[['Linda Lagos', 'Ruscella Mies', 1], ['Linda Lagos', 'Cornelia Lais', 1], ['Linda Lagos', 'Carla Forluniau', 1], ['Linda Lagos', 'Rachel Pantanal', 1], ['Linda Lagos', 'Mat Bramar', 1], ['Linda Lagos', 'Anda Ribera', 1]]"
41,Administration,source,2014-01-08 19:00:00,[]
42,Administration,source,2014-01-08 20:00:00,"[['Cornelia Lais', 'Ruscella Mies', 1], ['Cornelia Lais', 'Carla Forluniau', 1], ['Cornelia Lais', 'Rachel Pantanal', 1], ['Cornelia Lais', 'Mat Bramar', 1], ['Cornelia Lais', 'Linda Lagos', 1], ['Cornelia Lais', 'Anda Ribera', 1]]"
43,Administration,source,2014-01-08 21:00:00,[]
44,Administration,source,2014-01-08 22:00:00,[]
45,Administration,source,2014-01-09 08:00:00,[]
46,Administration,source,2014-01-09 09:00:00,[]
47,Administration,source,2014-01-09 10:00:00,[]
48,Administration,source,2014-01-09 11:00:00,[]
49,Administration,source,2014-01-09 12:00:00,[]
